,domain_id,domain_name,domain_url
360,6211,Gunung Mas,https://gumaskab.bps.go.id
361,6212,Barito Timur,https://bartimkab.bps.go.id
362,6213,Murung Raya,https://murakab.bps.go.id
363,6271,Palangka Raya,https://palangkakota.bps.go.id
364,6300,Kalimantan Selatan,https://kalsel.bps.go.id
365,6301,Tanah Laut,https://tanahlautkab.bps.go.id
366,6302,Kota Baru,https://kotabarukab.bps.go.id
367,6303,Banjar,https://banjarkab.bps.go.id
368,6304,Barito Kuala,https://baritokualakab.bps.go.id
369,6305,Tapin,https://tapinkab.bps.go.id
370,6306,Hulu Sungai Selatan,https://hulusungaiselatankab.bps.go.id
371,6307,Hulu Sungai Tengah,https://hulusungaitengahkab.bps.go.id
372,6308,Hulu Sungai Utara,https://hulusungaiutarakab.bps.go.id
373,6309,Tabalong,https://tabalongkab.bps.go.id
374,6310,Tanah Bumbu,https://tanahbumbukab.bps.go.id
375,6311,Balangan,https://balangankab.bps.go.id
376,6371,Banjarmasin,https://banjarmasinkota.bps.go.id
377,6372,Banjar Baru,https://banjarbarukota.bps.go.id
378,6400,Kalimantan Timur,https://kaltim.bps.go.id
379,6401,Paser,https://paserkab.bps.go.id
380,6402,Kutai Barat,https://kubarkab.bps.go.id
381,6403,Kutai Kartanegara,https://kukarkab.bps.go.id
382,6404,Kutai Timur,https://kutimkab.bps.go.id
383,6405,Berau,https://beraukab.bps.go.id
384,6409,Penajam Paser Utara,https://ppukab.bps.go.id
385,6411,Mahakam Hulu,https://mahulukab.bps.go.id
386,6471,Balikpapan,https://balikpapankota.bps.go.id
387,6472,Samarinda,https://samarindakota.bps.go.id
388,6474,Bontang,https://bontangkota.bps.go.id
389,6500,Kalimantan Utara,https://kaltara.bps.go.id
390,6501,Malinau,https://malinaukab.bps.go.id
391,6502,Bulungan,https://bulungankab.bps.go.id
392,6503,Tana Tidung,https://tanatidungkab.bps.go.id
393,6504,Nunukan,https://nunukankab.bps.go.id
394,6571,Tarakan,https://tarakankota.bps.go.id
395,7100,Sulawesi Utara,https://sulut.bps.go.id
396,7101,Bolaang Mongondow,https://bolmongkab.bps.go.id
397,7102,Minahasa,https://minahasakab.bps.go.id
398,7103,Kepulauan Sangihe,https://sangihekab.bps.go.id
399,7104,Kepulauan Talaud,https://talaudkab.bps.go.id
400,7105,Minahasa Selatan,https://minselkab.bps.go.id
401,7106,Minahasa Utara,https://minutkab.bps.go.id
402,7107,Bolaang Mongondow Utara,https://bolmutkab.bps.go.id
403,7108,Siau Tagulandang Biaro,https://sitarokab.bps.go.id
404,7109,Minahasa Tenggara,https://mitrakab.bps.go.id
405,7110,Bolaang Mongondow Selatan,https://bolselkab.bps.go.id
406,7111,Bolaang Mongondow Timur,https://boltimkab.bps.go.id
407,7171,Manado,https://manadokota.bps.go.id
408,7172,Bitung,https://bitungkota.bps.go.id
409,7173,Tomohon,https://tomohonkota.bps.go.id
410,7174,Kotamobagu,https://kotamobagukota.bps.go.id
411,7200,Sulawesi Tengah,https://sulteng.bps.go.id
412,7201,Banggai Kepulauan,https://bangkepkab.bps.go.id
413,7202,Banggai,https://banggaikab.bps.go.id
414,7203,Morowali,https://morowalikab.bps.go.id
415,7204,Poso,https://posokab.bps.go.id
416,7205,Donggala,https://donggalakab.bps.go.id
417,7206,Toli-Toli,https://tolitolikab.bps.go.id
418,7207,Buol,https://buolkab.bps.go.id
419,7208,Parigi Moutong,https://parigimoutongkab.bps.go.id
420,7209,Tojo Una-Una,https://tojounakab.bps.go.id
421,7210,Sigi,https://sigikab.bps.go.id
422,7211,Banggai Laut,https://banggailautkab.bps.go.id
423,7212,Morowali Utara,https://morowaliutarakab.bps.go.id
424,7271,Palu,https://palukota.bps.go.id
425,7300,Sulawesi Selatan,https://sulsel.bps.go.id
426,7301,Kepulauan Selayar,https://selayarkab.bps.go.id
427,7302,Bulukumba,https://bulukumbakab.bps.go.id
428,7303,Bantaeng,https://bantaengkab.bps.go.id
429,7304,Jeneponto,https://jenepontokab.bps.go.id
430,7305,Takalar,https://takalarkab.bps.go.id
431,7306,Gowa,https://gowakab.bps.go.id
432,7307,Sinjai,https://sinjaikab.bps.go.id
433,7308,Maros,https://maroskab.bps.go.id
434,7309,Pangkajene Dan Kepulauan,https://pangkepkab.bps.go.id
435,7310,Barru,https://barrukab.bps.go.id
436,7311,Bone,https://bonekab.bps.go.id
437,7312,Soppeng,https://soppengkab.bps.go.id
438,7313,Wajo,https://wajokab.bps.go.id
439,7314,Sidenreng Rappang,https://sidrapkab.bps.go.id
440,7315,Pinrang,https://pinrangkab.bps.go.id
441,7316,Enrekang,https://enrekangkab.bps.go.id
442,7317,Luwu,https://luwukab.bps.go.id
443,7318,Tana Toraja,https://tatorkab.bps.go.id
444,7322,Luwu Utara,https://luwuutarakab.bps.go.id
445,7325,Luwu Timur,https://luwutimurkab.bps.go.id
446,7326,Toraja Utara,https://torutkab.bps.go.id
447,7371,Makassar,https://makassarkota.bps.go.id
448,7372,Parepare,https://pareparekota.bps.go.id
449,7373,Palopo,https://palopokota.bps.go.id
450,7400,Sulawesi Tenggara,https://sultra.bps.go.id
451,7401,Buton,https://butonkab.bps.go.id
452,7402,Muna,https://munakab.bps.go.id
453,7403,Konawe,https://konawekab.bps.go.id
454,7404,Kolaka,https://kolakakab.bps.go.id
455,7405,Konawe Selatan,https://konselkab.bps.go.id
456,7406,Bombana,https://bombanakab.bps.go.id
457,7407,Wakatobi,https://wakatobikab.bps.go.id
458,7408,Kolaka Utara,https://kolutkab.bps.go.id
459,7409,Buton Utara,https://buturkab.bps.go.id
460,7410,Konawe Utara,https://konutkab.bps.go.id
